역명,날짜,구분,05~06시,06~07시,07~08시,08~09시,09~10시,10~11시,11~12시,12~13시,13~14시,14~15시,15~16시,16~17시,17~18시,18~19시,19~20시,20~21시,21~22시,22~23시,23~24시,00~01시,01~02시
서울역(150),2010-12-01,승차,411,552,"1,792","3,429","2,737","2,430","3,161","3,433","3,364","2,767","3,822","4,145","4,984","9,595","5,217","3,492","3,978","2,742","1,380",198,0
서울역(150),2010-12-01,하차,280,"1,680","4,629","10,313","5,586","2,920","2,673","2,506","2,393","2,648","2,535","2,905","3,084","3,715","2,723","1,794","1,657","1,533",761,373,32
서울역(150),2010-12-02,승차,434,520,"1,695","3,456","2,848","2,568","3,398","3,926","3,405","2,876","5,175","5,180","6,141","10,682","6,169","4,169","4,479","4,554","1,794",443,0
서울역(150),2010-12-02,하차,255,"1,609","4,504","10,225","5,322","3,050","2,435","3,037","3,103","2,888","3,391","3,692","3,545","5,575","3,389","2,141","2,076","1,928","1,074",547,64
서울역(150),2010-12-03,승차,543,467,982,"2,080","3,000","3,077","4,340","5,121","4,781","4,335","6,565","8,023","6,418","6,575","4,904","4,742","4,683","4,654","1,697",228,0
서울역(150),2010-12-03,하차,260,"1,355","1,853","2,337","3,223","3,218","3,230","3,997","4,507","4,910","5,323","5,384","6,014","5,494","3,803","3,440","3,771","3,317","1,642",837,131
서울역(150),2010-12-04,승차,372,321,556,"1,058","1,892","2,227","2,893","3,802","3,260","2,762","4,024","4,816","3,343","3,458","2,906","2,525","2,994","3,228",794,46,0
서울역(150),2010-12-04,하차,179,757,"1,054","1,432","2,082","2,220","2,197","2,682","2,824","3,192","3,478","3,577","3,289","3,230","2,429","1,921","1,742","1,246",498,188,0
서울역(150),2010-12-05,승차,499,620,"2,631","4,482","2,825","2,415","3,119","3,570","3,101","2,630","3,705","3,754","4,633","9,225","5,184","3,432","3,599","2,267","1,082",182,0
서울역(150),2010-12-05,하차,465,"2,240","5,038","10,722","5,606","2,880","2,390","2,516","2,606","2,536","2,442","2,932","2,743","3,507","2,566","1,750","1,492","1,426",620,274,22
서울역(150),2010-12-06,승차,489,544,"1,842","3,287","2,662","2,335","2,772","3,366","2,964","2,622","3,436","3,726","5,048","9,779","5,297","3,425","3,721","2,410","1,202",208,1
