도서관명,시도명,시군구명,도서관유형,휴관일,운영시작시각,운영종료시각,열람좌석수,자료수(도서),자료수(연속간행물),자료수(비도서),대출가능권수,대출가능일수,소재지도로명주소,운영기관명,도서관전화번호,부지면적,건물면적,홈페이지주소,latitude,longitude,데이터기준일자
금정작은도서관,경기도,군포시,작은도서관,국가지정공휴일,9:00,18:00,20,8397,0,0,3,14,경기도 군포시 금산로35,금정동주민자치위원회,031-390-8699,,103,,37.36540028,126.9392712,2016-06-01
신산본자이2차아파트문고,경기도,군포시,작은도서관,국가지정공휴일,9:00,17:00,16,1896,0,0,2,7,경기도 군포시 고산로151번길26-23,자이2차관리사무소,031-427-0121,,69,,37.345243,126.9568841,2016-06-01
재궁꿈나무도서관,경기도,군포시,작은도서관,국가지정공휴일,9:00,18:00,30,13657,0,0,5,14,경기도 군포시 번영로550번길25,재궁동주민자치위원회,031-390-8757,,102,http://www.jgdream.com,37.35844063,126.939042,2016-06-01
버드나무에부는바람,경기도,군포시,작은도서관,국가지정공휴일,9:00,18:00,45,5824,0,0,3,17,경기도 군포시 금산로18-1,갈릴리교회,070-8623-6492,,120,,37.36420813,126.9408751,2016-06-01
군포새마을문고,경기도,군포시,작은도서관,국가지정공휴일,9:00,18:00,20,3100,0,0,3,14,경기도 군포시 산본천로23,새마을협의회,031-396-4136,,99,,37.35935974,126.9264756,2016-06-01
율곡마을작은도서관,경기도,군포시,작은도서관,국가지정공휴일,10:00,17:00,12,3839,0,0,3,7,경기도 군포시 오금로43,율곡마을관리사무소,031-344-5959,,33,,37.35245696,126.930961,2016-06-01
사랑이있는작은도서관,경기도,군포시,작은도서관,국가지정공휴일,10:00,18:00,48,3401,0,0,2,7,경기도 군포시 금당로164,사랑이있는 교회,031-429-0400,,117,,37.36016198,126.9434609,2016-06-01
큰꿈어린이도서관,경기도,군포시,작은도서관,"매주 일,월요일",10:00,18:00,25,3866,0,0,2,7,경기도 군포시 번영로561번안길29호1층,큰교회,031-456-0243,,80,,37.3617052,126.9376125,2016-06-01
꿈쟁이도서관,경기도,군포시,작은도서관,"매주 일,월요일",10:00,18:00,137,9172,0,0,7,14,경기도 군포시 용호1로16번길1,제자삼는교회,070-7779-9396,,303,,37.34431213,126.9383311,2016-06-01
궁내동작은도서관,경기도,군포시,작은도서관,국가지정공휴일,9:00,18:00,10,4920,0,0,5,14,경기도 군포시 고산로517번길10,궁내동주민자치위원회,031-390-8786,,72,,37.35965952,126.9218473,2016-06-01
해오름문고,경기도,군포시,작은도서관,국가지정공휴일,14:00,17:00,20,2530,0,0,2,7,경기도 군포시 용호1로21번길15,용호대림e편한세상관리사무소,031-398-9806,,50,,37.34297409,126.9366123,2016-06-01
우리마을도서관,경기도,군포시,작은도서관,국가지정공휴일,9:00,18:00,35,4822,0,0,7,14,경기도 군포시 곡란로8번길35-10,창대한교회,031-394-9101,,119,,37.37553075,126.9379985,2016-06-01
꿈이지작은도서관,경기도,군포시,작은도서관,매주 일요일,10:00,20:30,50,4311,0,0,5,7,경기도 군포시 산본로322,군포문화재단,031-390-1409,,110,http://www.gpdream.or.kr,37.35982232,126.9347605,2016-06-01
느티나무도서관,경기도,군포시,작은도서관,매주월화목토일요일,15:00,19:00,40,3410,0,0,2,14,경기도 군포시 송부로291번길29,부곡2단지관리사무소,031-461-7710,,63,,37.32424746,126.9445981,2016-06-01
꿈드림,경기도,군포시,작은도서관,국가지정공휴일,9:00,18:00,12,3067,0,0,3,7,경기도 군포시 용호1로21번길14,군포시근로자종합복지관,031-397-6355,,33,http://www.gpstar.or.kr,37.34513642,126.9363487,2016-06-01
당정문화도서관,경기도,군포시,작은도서관,매주 일요일,9:00,18:00,97,37703,33,0,7,14,경기도 군포시 한세로56번길12,경기도 군포시청,031-390-8746,,307,,37.3472245,126.9548334,2016-06-01
북카페사랑ING,경기도,군포시,작은도서관,"매주 일,월요일",10:00,18:00,74,6830,0,0,7,14,경기도 군포시 산본로386번길5-11,사랑빚는교회,031-391-5530,,330,,37.36527983,126.930011,2016-06-01
밥상머리북카페,경기도,군포시,작은도서관,국가지정공휴일,9:00,18:00,88,13594,0,0,7,14,경기도 군포시 청백리길6,경기도 군포시청,031-390-0905,,149,,37.36114543,126.9354998,2016-06-01
공군제8249부대,경기도,군포시,작은도서관,연중무휴,9:00,22:00,24,4807,0,0,0,0,경기도 군포시 속달동327-4,국방부,070-7790-1305,,58,,37.35707938,126.9029277,2016-06-01
토리작은도서관,경기도,군포시,작은도서관,연중무휴,14:00,18:00,14,3342,0,0,2,14,경기도 군포시 송부로273번길27,부곡3단지부녀회,031-461-8886,,84,,37.3247104,126.9404863,2016-06-01
노루목작은도서관,경기도,군포시,작은도서관,국가지정공휴일,9:00,18:00,46,4590,0,0,3,14,경기도 군포시 고산로724번길13,산본1동주민자치위원회,031-390-8606,,90,,37.37336859,126.9385783,2016-06-01
쁘레네 작은도서관별찌,경기도,군포시,작은도서관,국가지정공휴일,11:00,17:00,15,2602,0,0,2,7,경기도 군포시 금당로17번길9,쁘레네교육,031-393-6502,,37,,37.35005749,126.9390939,2016-06-01
군포경찰서작은도서관,경기도,군포시,작은도서관,연중무휴,9:00,24:00:00,7,1536,0,0,0,0,경기도 군포시 산본천로324번길16,경찰청,031-390-9321,,33,www.ggpolice.go.kr,37.35005749,126.9390939,2016-06-01
당정동벤티움작은도서관,경기도,군포시,작은도서관,국가지정공휴일,12:50,13:30,20,1887,0,0,2,7,경기도 군포시 고산로166,SK벤티움,031-436-0111,,100,www.skventium.co.kr,37.34875581,126.9536993,2016-06-01
삼성마을5단지작은도서관,경기도,군포시,작은도서관,매주 월요일,13:00,17:00,37,2474,0,0,2,14,경기도 군포시 번영로200번길31,아파트입주자대표위,031-393-3463,,58,,37.33474969,126.9305619,2016-06-01
책놀이터작은도서관,경기도,군포시,작은도서관,"매주 일,월요일",13:00,19:00,22,3501,0,0,2,7,경기도 군포시 삼성로31 삼성마을4단지,아파트입주자대표위,031-399-1130,,109,,37.33767963,126.9301936,2016-06-01
산본도서관,경기도,군포시,공공도서관,"매주 월요일, 국가지정공휴일",7:00,24:00:00,674,215082,115,15152,7,14,경기도 군포시  광정로 96,경기도 군포시청,031-395-4316,,3586,www.gunpolib.or.kr,37.36147659,126.9284874,2016-06-01
당동도서관,경기도,군포시,공공도서관,"매주 월요일, 국가지정공휴일",7:00,24:00:00,320,121082,103,4669,7,14,경기도 군포시 산본로 197번길 36,경기도 군포시청,031-390-8810,,1751,www.gunpolib.or.kr,37.35371503,126.9451679,2016-06-01
대야도서관,경기도,군포시,공공도서관,"연중무휴(설,추석연휴 휴관)",7:00,24:00:00,235,110425,127,4244,7,14,경기도 군포시 대야2로 139,경기도 군포시청,031-501-5407,,1569,www.gunpolib.or.kr,37.33028148,126.9153469,2016-06-01
부곡도서관,경기도,군포시,공공도서관,"매주 월요일, 국가지정공휴일",7:00,24:00:00,350,51789,86,1680,7,14,경기도 군포시 송부로 221번길 3-10,경기도 군포시청,031-390-4094,,2100,www.gunpolib.or.kr,37.32399786,126.935676,2016-06-01
어린이도서관,경기도,군포시,공공도서관,"매주 월요일, 국가지정공휴일",9:00,18:00,234,117508,51,3968,7,14,경기도 군포시 고산로 677번길 21,경기도 군포시청,031-390-8680,,2642,www.gunpolib.or.kr,37.37215771,126.9321487,2016-06-01
샤론작은도서관,경기도,군포시,작은도서관,매주 토요일,10:00,17:30,40,3228,0,0,2,7,경기도 군포시 번영로609번길33,장자교회,031-477-5692,,99,,37.36462662,126.9417101,2016-06-01
하늘정원작은도서관,경기도,군포시,작은도서관,국가지정공휴일,11:00,21:00,40,1814,0,0,2,7,경기도 군포시 군포로499번길7,정원지역아동센터,031-394-9184,,172,,37.35108702,126.9438741,2016-06-01
농심작은도서관,경기도,군포시,작은도서관,국가지정공휴일,9:00,18:00,6,4700,0,0,3,15,경기도 군포시 농심로35,(주)농심,031-450-5542,,61,,37.36080447,126.9539719,2016-06-01
여담작은도서관,경기도,군포시,작은도서관,국가지정공휴일,9:00,18:00,16,1373,0,0,2,10,경기도 군포시 청백리길6,군포문화재단,031-390-3087,,70,http://www.gpwoman.or.kr,37.36114543,126.9354998,2016-06-01
