관리기관명,소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도,경도,데이터기준일자
경기도 구리시청,,경기도 구리시 토평동 203-5(구리여고 맞은편),생활방범,4,200,360도전방면,30,Dec-14,031-550-2301,37.588485,127.132861,2017-01-31
경기도 구리시청,,경기도 구리시 사노동 244-1 ㈜금동축산 앞,생활방범,5,200,360도전방면,30,Dec-14,031-550-2301,37.595925,127.139203,2017-01-31
경기도 구리시청,,경기도 구리시 사노동 247 ㈜LK랍코리아 앞,생활방범,3,200,360도전방면,30,Dec-14,031-550-2301,37.59459,127.147074,2017-01-31
경기도 구리시청,,경기도 구리시 사노동 449-2 사노리 나들목 버스정류장 옆,생활방범,3,200,360도전방면,30,Dec-14,031-550-2301,37.593535,127.144527,2017-01-31
경기도 구리시청,,경기도 구리시 수택동 355-8(동부그린),생활방범,4,200,360도전방면,30,Aug-15,031-550-2301,37.606581,127.129586,2017-01-31
경기도 구리시청,,경기도 구리시 교문동 730-4(안골공원),생활방범,5,200,360도전방면,30,Aug-15,031-550-2301,37.601983,127.147387,2017-01-31
경기도 구리시청,,경기도 구리시 수택동 512-12(대우아파트),생활방범,6,200,360도전방면,30,Aug-15,031-550-2301,37.596281,127.15,2017-01-31
경기도 구리시청,,경기도 구리시 수택동 522-86(교문야식),생활방범,4,200,360도전방면,30,Aug-15,031-550-2301,37.596228,127.145331,2017-01-31
경기도 구리시청,,경기도 구리시 교문동 802-10(까치마트),생활방범,5,200,360도전방면,30,Aug-15,031-550-2301,37.598226,127.145026,2017-01-31
경기도 구리시청,,경기도 구리시 수택동 275-3(한뜻교회),생활방범,5,200,360도전방면,30,Aug-15,031-550-2301,37.597067,127.136925,2017-01-31
경기도 구리시청,,경기도 구리시 토평동 982-15(원룸단지),생활방범,5,200,360도전방면,30,Aug-15,031-550-2301,37.598118,127.143864,2017-01-31
경기도 구리시청,,경기도 구리시 토평동 972-7(원룸단지),생활방범,5,200,360도전방면,30,Aug-15,031-550-2301,37.588199,127.157054,2017-01-31
경기도 구리시청,,경기도 구리시 교문동 763-9(대명부근),생활방범,4,200,360도전방면,30,Aug-15,031-550-2301,37.603753,127.143435,2017-01-31
경기도 구리시청,,경기도 구리시 교문동 798-9(버스정류장),생활방범,5,200,360도전방면,30,Aug-15,031-550-2301,37.599008,127.135473,2017-01-31
경기도 구리시청,,경기도 구리시 수택동 456-11(민선마트),생활방범,5,200,360도전방면,30,Aug-15,031-550-2301,37.587759,127.154383,2017-01-31
경기도 구리시청,,경기도 구리시 수택동 479-24(서가산공원앞),생활방범,5,200,360도전방면,30,Aug-15,031-550-2301,37.585375,127.149774,2017-01-31
경기도 구리시청,,경기도 구리시 수택동 854-1(부양공원),생활방범,3,200,360도전방면,30,Aug-15,031-550-2301,37.603613,127.138973,2017-01-31
경기도 구리시청,,경기도 구리시 아천동 314-4(우미네 마을 입구),생활방범,3,200,360도전방면,30,Aug-15,031-550-2301,37.602779,127.136504,2017-01-31
경기도 구리시청,,경기도 구리시 인창동 696(동구동사무소),생활방범,4,200,360도전방면,30,Aug-15,031-550-2301,37.601378,127.148657,2017-01-31
경기도 구리시청,,경기도 구리시 인창동 480-6(천성교회),생활방범,3,200,360도전방면,30,Aug-15,031-550-2301,37.600184,127.144245,2017-01-31
경기도 구리시청,,경기도 구리시 인창동 641-23(수지네 세탁소),생활방범,5,200,360도전방면,30,Aug-15,031-550-2301,37.597041,127.14955,2017-01-31
경기도 구리시청,,경기도 구리시 교문동 328-7(미래유리 앞),생활방범,4,200,360도전방면,30,Aug-15,031-550-2301,37.595653,127.134064,2017-01-31
경기도 구리시청,,경기도 구리시 교문동 339-33(남일주유소 뒤),생활방범,4,200,360도전방면,30,Aug-15,031-550-2301,37.610021,127.134432,2017-01-31
경기도 구리시청,,경기도 구리시 인창동 581(신동흥 C동),생활방범,4,200,360도전방면,30,Aug-15,031-550-2301,37.607657,127.137413,2017-01-31
경기도 구리시청,,경기도 구리시 인창동 392(인창성당 뒤),생활방범,4,200,360도전방면,30,Aug-15,031-550-2301,37.599346,127.133626,2017-01-31
경기도 구리시청,,경기도 구리시 인창동 555-17(인창초교 입구),생활방범,4,200,360도전방면,30,Aug-15,031-550-2301,37.640875,127.115326,2017-01-31
경기도 구리시청,,경기도 구리시 인창동 295-1(교보생명뒤),생활방범,4,200,360도전방면,30,Aug-15,031-550-2301,37.598361,127.135679,2017-01-31
경기도 구리시청,,경기도 구리시 인창동 487-10(새마을터널입구),생활방범,4,200,360도전방면,30,Aug-15,031-550-2301,37.637271,127.141277,2017-01-31
경기도 구리시청,,경기도 구리시 수택동 544 구리초교,생활방범,5,200,360도전방면,30,Aug-15,031-550-2301,37.602302,127.14308,2017-01-31
경기도 구리시청,,경기도 구리시 교문동 197-9 신성정육점,생활방범,5,200,360도전방면,30,Aug-15,031-550-2301,37.591436,127.129188,2017-01-31
경기도 구리시청,,경기도 구리시 수택동 468-1(큰집 부동산),생활방범,5,200,360도전방면,30,Aug-15,031-550-2301,37.592202,127.149854,2017-01-31
경기도 구리시청,,경기도 구리시 아천동 353-17,생활방범,3,200,360도전방면,30,Aug-15,031-550-2301,37.633954,127.139552,2017-01-31
경기도 구리시청,,경기도 구리시 수택동 684-18(시민교회),생활방범,4,200,360도전방면,30,Aug-15,031-550-2301,37.633048,127.140544,2017-01-31
경기도 구리시청,,경기도 구리시 인창동 583-6(건원초교),생활방범,4,200,360도전방면,30,Aug-15,031-550-2301,37.643445,127.140671,2017-01-31
경기도 구리시청,,경기도 구리시 교문동 745-1(흥부네 족발 인근),생활방범,4,200,360도전방면,30,Aug-15,031-550-2301,37.5967,127.133789,2017-01-31
경기도 구리시청,,"경기도 구리시 수택동 370-14 삼거리(이촌말공원 앞, 춘자네)",생활방범,3,200,360도전방면,30,Aug-15,031-550-2301,37.599989,127.136676,2017-01-31
경기도 구리시청,,"경기도 구리시 인창동 521-5(동성교회 앞, EDYA커피숍 인도)",생활방범,4,200,360도전방면,30,Aug-15,031-550-2301,37.608348,127.134668,2017-01-31
경기도 구리시청,,경기도 구리시 수택동 276-55(복지A빌라)),생활방범,5,200,360도전방면,30,Aug-15,031-550-2301,37.593158,127.147839,2017-01-31
경기도 구리시청,,경기도 구리시 토평동 23-59(밀알교회 진입로),생활방범,4,200,360도전방면,30,Aug-15,031-550-2301,37.579881,127.156247,2017-01-31
경기도 구리시청,,경기도 구리시 인창동 619-12(인창초등어린이보호 후문),생활방범,5,200,360도전방면,30,Aug-15,031-550-2301,37.604042,127.130833,2017-01-31
경기도 구리시청,,경기도 구리시 교문동 667-1(두레자연생활방범),생활방범,5,200,360도전방면,30,Aug-15,031-550-2301,37.582148,127.127083,2017-01-31
경기도 구리시청,,경기도 구리시 수택동 374(이촌말공원),생활방범,6,200,360도전방면,30,Aug-15,031-550-2301,37.599415,127.137087,2017-01-31
경기도 구리시청,,경기도 구리시 교문동 799(호수공원),생활방범,4,200,360도전방면,30,Aug-15,031-550-2301,37.59129,127.132234,2017-01-31
경기도 구리시청,,경기도 구리시 토평동 991-1(토평공원),생활방범,3,200,360도전방면,30,Aug-15,031-550-2301,37.590131,127.151562,2017-01-31
경기도 구리시청,,경기도 구리시 인창동 651-2(아름마을공원),생활방범,4,200,360도전방면,30,Aug-15,031-550-2301,37.609981,127.130198,2017-01-31
경기도 구리시청,,경기도 구리시 인창동 669-1(동구하늘공원) - 중앙,생활방범,3,200,360도전방면,30,Aug-15,031-550-2301,37.607143,127.145871,2017-01-31
경기도 구리시청,,경기도 구리시 인창동 669-1(동구하늘공원) - 좌측,생활방범,3,200,360도전방면,30,Aug-15,031-550-2301,37.607143,127.145871,2017-01-31
경기도 구리시청,,경기도 구리시 수택동 211-1(왕숙천어린이물놀이장),생활방범,4,200,360도전방면,30,Aug-15,031-550-2301,37.595072,127.157221,2017-01-31
경기도 구리시청,,경기도 구리시 수택동 436(옥밭굴공원),생활방범,3,200,360도전방면,30,Aug-15,031-550-2301,37.595836,127.140748,2017-01-31
경기도 구리시청,,경기도 구리시 수택동 405-24(부부한의원 입구),생활방범,5,200,360도전방면,30,Dec-15,031-550-2301,37.5996313,127.1419436,2017-01-31
경기도 구리시청,,경기도 구리시 수택동 379-24 방주농산앞(보원장뒷편),생활방범,5,200,360도전방면,30,Dec-15,031-550-2301,37.5979399,127.1396141,2017-01-31
경기도 구리시청,,경기도 구리시 인창동 605-89 아델라 뒷골목,생활방범,5,200,360도전방면,30,Dec-15,031-550-2301,37.6018982,127.134666,2017-01-31
경기도 구리시청,,경기도 구리시 인창동 649-8 인창어린이집,생활방범,6,200,360도전방면,30,Dec-15,031-550-2301,37.6087131,127.12935,2017-01-31
경기도 구리시청,,경기도 구리시 수택동 456(진미용실 앞),생활방범,5,200,360도전방면,30,Dec-15,031-550-2301,37.5950141,127.1435306,2017-01-31
경기도 구리시청,,경기도 구리시 수택동439(쌍용아파트 앞 사거리),생활방범,5,200,360도전방면,30,Dec-15,031-550-2301,37.5935048,127.1390722,2017-01-31
경기도 구리시청,,경기도 구리시 수택동 441-12 신래주택 옆(경북방앗간),생활방범,4,200,360도전방면,30,Dec-15,031-550-2301,37.5935361,127.1402485,2017-01-31
경기도 구리시청,,경기도 구리시 수택동 506-9(하이스트빌),생활방범,5,200,360도전방면,30,Dec-15,031-550-2301,37.5971937,127.1452168,2017-01-31
경기도 구리시청,,경기도 구리시 수택동 521-58(한국육계유통 앞),생활방범,5,200,360도전방면,30,Dec-15,031-550-2301,37.5971937,127.1452168,2017-01-31
