관리기관명,소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,관리기관전화번호,위도,경도
경기도 수원시 도시안전통합센터,,경기도 수원시 권선구 금곡동  154,생활방범,1,130,360도전방면,031-228-3301,37.275832,126.954209
경기도 수원시 도시안전통합센터,,경기도 수원시 권선구 금곡동  537-8,생활방범,1,130,360도전방면,031-228-3301,37.274127,126.93739
경기도 수원시 도시안전통합센터,,경기도 수원시 권선구 금곡동  537-8,생활방범,1,130,360도전방면,031-228-3301,37.27398,126.940915
경기도 수원시 도시안전통합센터,,경기도 수원시 권선구 금곡동  438-1,생활방범,1,130,360도전방면,031-228-3301,37.274146,126.943654
경기도 수원시 도시안전통합센터,,경기도 수원시 권선구 금곡동  397-3,생활방범,1,130,360도전방면,031-228-3301,37.275009,126.944222
경기도 수원시 도시안전통합센터,,경기도 수원시 권선구 금곡동  398-15,생활방범,1,130,360도전방면,031-228-3301,37.275838,126.946074
경기도 수원시 도시안전통합센터,,경기도 수원시 권선구 금곡동  358-2,생활방범,1,130,360도전방면,031-228-3301,37.275132,126.948273
경기도 수원시 도시안전통합센터,,경기도 수원시 권선구 호매실동  599,생활방범,1,130,360도전방면,031-228-3301,37.266594,126.948307
경기도 수원시 도시안전통합센터,,경기도 수원시 권선구 금곡동  138-7,생활방범,1,130,360도전방면,031-228-3301,37.274813,126.951827
경기도 수원시 도시안전통합센터,,경기도 수원시 권선구 금곡동  367,생활방범,1,130,360도전방면,031-228-3301,37.2735,126.948841
경기도 수원시 도시안전통합센터,,경기도 수원시 권선구 금곡동  328-1,생활방범,1,130,360도전방면,031-228-3301,37.273244,126.951419
경기도 수원시 도시안전통합센터,,경기도 수원시 권선구 금곡동  145-3,생활방범,1,130,360도전방면,031-228-3301,37.273765,126.952103
경기도 수원시 도시안전통합센터,,경기도 수원시 권선구 금곡동  645-2,생활방범,1,130,360도전방면,031-228-3301,37.270257,126.938481
경기도 수원시 도시안전통합센터,,경기도 수원시 권선구 금곡동  638,생활방범,1,130,360도전방면,031-228-3301,37.270818,126.940935
경기도 수원시 도시안전통합센터,,경기도 수원시 권선구 금곡동  610,생활방범,1,130,360도전방면,031-228-3301,37.271588,126.941207
경기도 수원시 도시안전통합센터,,경기도 수원시 권선구 금곡동  594,생활방범,1,130,360도전방면,031-228-3301,37.271754,126.943182
경기도 수원시 도시안전통합센터,,경기도 수원시 권선구 금곡동  301-1,생활방범,1,130,360도전방면,031-228-3301,37.27144,126.945153
경기도 수원시 도시안전통합센터,,경기도 수원시 권선구 금곡동  319,생활방범,1,130,360도전방면,031-228-3301,37.272143,126.948987
경기도 수원시 도시안전통합센터,,경기도 수원시 권선구 호매실동  469-4,생활방범,1,130,360도전방면,031-228-3301,37.268579,126.951471
경기도 수원시 도시안전통합센터,,경기도 수원시 권선구 금곡동  325,생활방범,1,130,360도전방면,031-228-3301,37.272455,126.952504
경기도 수원시 도시안전통합센터,,경기도 수원시 권선구 금곡동  164-2,생활방범,1,130,360도전방면,031-228-3301,37.272619,126.953775
경기도 수원시 도시안전통합센터,,경기도 수원시 권선구 금곡동  201-13,생활방범,1,130,360도전방면,031-228-3301,37.273336,126.95679
경기도 수원시 도시안전통합센터,,경기도 수원시 권선구 호매실동  513,생활방범,1,130,360도전방면,031-228-3301,37.270812,126.944878
경기도 수원시 도시안전통합센터,,경기도 수원시 권선구 금곡동  288,생활방범,1,130,360도전방면,031-228-3301,37.270567,126.948349
경기도 수원시 도시안전통합센터,,경기도 수원시 권선구 금곡동  253-11,생활방범,1,130,360도전방면,031-228-3301,37.270308,126.953815
경기도 수원시 도시안전통합센터,,경기도 수원시 권선구 금곡동  250-7,생활방범,1,130,360도전방면,031-228-3301,37.271801,126.955162
경기도 수원시 도시안전통합센터,,경기도 수원시 권선구 금곡동  235-6,생활방범,1,130,360도전방면,031-228-3301,37.272124,126.956544
